iter	Passed	Remaining
0	1	99
1	1	92
2	2	88
3	3	79
4	4	76
5	4	74
6	5	73
7	6	71
8	6	69
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	52
28	20	51
29	21	50
30	22	50
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
